GridSize;seed;l;alpha;lambda;beta;type;SNorm;SNormTapered;SNormSeparTapered
10;55;1;1;10;1;rectangular;5.430220277;6.897715836;8.130628359
10;56;1;1;10;1;rectangular;8.498882944;9.02599439;9.961913
10;57;1;1;10;1;rectangular;8.822400661;6.122201719;6.712992629
10;58;1;1;10;1;rectangular;9.180368386;8.231384238;9.1207587
10;59;1;1;10;1;rectangular;5.616484753;5.453904796;5.503468721
10;60;1;1;10;1;rectangular;8.435941952;8.471349641;9.563911164
10;61;1;1;10;1;rectangular;8.801066705;8.504200319;9.590267465
10;62;1;1;10;1;rectangular;9.683039568;7.331941033;7.758594353
10;63;1;1;10;1;rectangular;9.095734458;6.112790922;6.929741616
10;64;1;1;10;1;rectangular;8.765228883;7.174104896;8.321200582
10;65;1;1;10;1;rectangular;5.340327221;6.958750635;6.970881625
10;66;1;1;10;1;rectangular;8.691648237;8.565766775;9.619199512
10;67;1;1;10;1;rectangular;8.236881132;7.781854106;8.953148827
10;68;1;1;10;1;rectangular;9.06028471;8.937475204;9.970657846
10;69;1;1;10;1;rectangular;9.695353013;8.817177111;9.625565843
10;70;1;1;10;1;rectangular;7.980199768;7.964880432;9.277538715
10;71;1;1;10;1;rectangular;9.570556776;9.228170992;10.0844018
10;72;1;1;10;1;rectangular;7.63252595;8.281231652;9.446760665
10;73;1;1;10;1;rectangular;9.393434352;9.119544067;9.734207132
10;74;1;1;10;1;rectangular;6.108994825;7.281565078;8.309080167
10;75;1;1;10;1;rectangular;9.111177042;8.297163946;9.617676841
10;76;1;1;10;1;rectangular;10.06158229;9.830246097;10.38479812
10;77;1;1;10;1;rectangular;8.576840225;7.691986254;8.72496012
10;78;1;1;10;1;rectangular;9.991630922;8.726974754;9.619906355
10;79;1;1;10;1;rectangular;8.807586496;7.942493407;8.071777143
10;80;1;1;10;1;rectangular;9.210467813;9.403984338;10.09991137
10;81;1;1;10;1;rectangular;8.440656434;8.124843212;9.368242005
10;82;1;1;10;1;rectangular;10.01568542;9.056129998;9.831437127
10;83;1;1;10;1;rectangular;7.497851977;6.886409982;7.889831424
10;84;1;1;10;1;rectangular;8.959101822;8.244321613;9.416479196
10;85;1;1;10;1;rectangular;8.941902849;8.290568554;9.44669791
10;86;1;1;10;1;rectangular;8.373874579;8.775883126;9.760294689
10;87;1;1;10;1;rectangular;5.123546715;5.941796538;6.279568026
10;88;1;1;10;1;rectangular;8.420629761;6.531846437;7.166567207
10;89;1;1;10;1;rectangular;8.352539609;5.194906251;4.662012126
10;90;1;1;10;1;rectangular;9.483123976;8.948026109;9.913263074
10;91;1;1;10;1;rectangular;9.138730939;6.824326439;6.828346393
10;92;1;1;10;1;rectangular;8.913485681;7.700704852;8.542213521
10;93;1;1;10;1;rectangular;8.886057933;8.163284501;9.03260182
10;94;1;1;10;1;rectangular;6.768371645;6.700209819;7.241845455
