"","GridSize","seed","alpha","lambda","beta","type","SNorm","SNormTapered","SNormSeparTapered","L1Selected","L2Selected"
"1225",50,25,1,2,0,"rectangular",16.0827380222582,1.02343013511687,1.34525031906178,6,6
"1226",50,26,1,2,0,"rectangular",18.8565697469188,1.7700415741236,1.08879310666149,5,6
"1227",50,27,1,2,0,"rectangular",18.4506486890755,3.59287104115453,2.96362302544899,5,7
"1228",50,28,1,2,0,"rectangular",15.572160360951,3.22119389126301,1.93774104323747,6,8
"1229",50,29,1,2,0,"rectangular",22.7985157232253,6.39108859828673,5.78814154624838,10,10
"1230",50,30,1,2,0,"rectangular",21.3745215727018,3.48502383562385,3.3176876354051,7,4
"1231",50,31,1,2,0,"rectangular",12.7785146704957,5.26032636793547,5.2603920995827,6,5
"1232",50,32,1,2,0,"rectangular",13.324607345676,9.80796116961747,9.07565089329256,4,4
"1233",50,33,1,2,0,"rectangular",15.9389205330572,6.30547156986323,5.44217758355999,5,4
"1234",50,34,1,2,0,"rectangular",18.3503601350842,5.31810275237941,4.18977383386768,4,6
"1235",50,35,1,2,0,"rectangular",16.4540012579485,2.60202249584836,2.64865046917063,5,7
"1236",50,36,1,2,0,"rectangular",10.6519820536079,4.58476273369693,6.31867648123935,5,5
"1237",50,37,1,2,0,"rectangular",25.385703896191,4.42702577702083,2.26920031081308,5,5
"1238",50,38,1,2,0,"rectangular",14.4638322544613,6.60797839130299,7.05625850742257,4,5
"1239",50,39,1,2,0,"rectangular",12.1147983375297,8.45819672045083,4.20453875863562,6,8
"1240",50,40,1,2,0,"rectangular",16.9560510795607,2.1108832803623,2.76245753559345,5,5
"1241",50,41,1,2,0,"rectangular",28.194153845519,3.05397396439688,2.13426676159787,6,5
"1242",50,42,1,2,0,"rectangular",32.0576521429721,8.96845881662788,4.56014538324655,7,12
"1243",50,43,1,2,0,"rectangular",18.1684006686625,4.15326784654092,3.46067884244116,9,5
"1244",50,44,1,2,0,"rectangular",24.0956054801856,4.46632031272581,3.51301215140748,6,7
