"GridSize","seed","alpha","lambda","beta","type","SNorm","SNormTapered","SNormSeparTapered","L1Selected","L2Selected"
10,42,1,4,0,"trapezoid",25.6869311925193,25.028770339408,24.5034435156412,2,2
10,43,1,4,0,"trapezoid",21.8647492519899,21.1348952040532,21.665562668313,3,3
10,44,1,4,0,"trapezoid",20.7405302813358,18.1900355001883,18.7550785484512,3,3
10,45,1,4,0,"trapezoid",25.5271552835558,24.6669491848854,25.4618434857002,2,2
10,46,1,4,0,"trapezoid",25.5921682783731,24.5742897980498,24.8034986046119,3,2
10,47,1,4,0,"trapezoid",25.3159919780923,24.7096658052075,25.2575212788653,4,3
10,48,1,4,0,"trapezoid",15.8583980462106,13.261826757508,20.0868896649934,5,3
10,49,1,4,0,"trapezoid",21.8969871267751,19.6215233724685,17.4007044268773,5,3
10,50,1,4,0,"trapezoid",25.1173745472566,24.4789143479545,25.3221504519732,3,3
10,51,1,4,0,"trapezoid",23.9948988089002,23.0526110121936,21.7008409785538,2,3
10,52,1,4,0,"trapezoid",22.2237912335207,17.6820609131398,17.7385073202481,2,4
10,53,1,4,0,"trapezoid",22.6042600913748,20.4474388070131,21.130380775778,3,3
10,54,1,4,0,"trapezoid",24.8221988878303,24.8156829514195,23.48089761669,3,5
10,55,1,4,0,"trapezoid",21.1225730444874,19.7797903181831,19.1285041160853,4,4
10,56,1,4,0,"trapezoid",25.6136460511624,24.809378120631,26.1431669708318,2,3
10,57,1,4,0,"trapezoid",19.4989618781312,18.6985469506733,8.58062894721404,4,3
10,58,1,4,0,"trapezoid",23.8516148679143,21.5560374094467,23.2640219398998,4,2
10,59,1,4,0,"trapezoid",23.7661866199307,20.7298464089978,22.3049832942498,5,2
10,60,1,4,0,"trapezoid",25.0189015709454,23.5342515071632,24.5946690839705,3,3
10,61,1,4,0,"trapezoid",21.2701546731671,20.0137568168544,20.1652138045684,3,3
10,62,1,4,0,"trapezoid",21.2252501822264,19.5033868380778,17.3708674598575,3,3
10,63,1,4,0,"trapezoid",19.6491469488636,16.4980132404184,15.8111079214939,3,4
10,64,1,4,0,"trapezoid",18.5129292477396,15.631818990768,13.8851248984689,4,3
10,65,1,4,0,"trapezoid",24.5966874636443,23.6889775091829,22.7771178449277,3,4
10,66,1,4,0,"trapezoid",26.1646808824739,26.2167290944425,26.3044938504469,3,2
10,67,1,4,0,"trapezoid",24.8916389837691,24.1616480112314,25.0974468442594,3,2
10,68,1,4,0,"trapezoid",26.4551437280352,26.3890033736945,26.4212869606818,2,2
10,69,1,4,0,"trapezoid",25.7887312865778,24.2702174556035,24.9558412514657,4,2
10,70,1,4,0,"trapezoid",24.1447470280228,23.0166448850921,24.1112812677315,4,3
10,71,1,4,0,"trapezoid",25.8250047404561,24.4491229990277,25.5146829804268,3,2
10,72,1,4,0,"trapezoid",24.1180243209689,22.863727564129,24.0001587183138,3,2
